,prefix_v4,ips_v4,prefix_v6,48s_v6
43019,5,1280,0,0
12812,4,1024,0,0
42003,62,154112,0,0
59931,0,0,0,0
42020,6,1536,0,0
197674,1,2048,1,65536
43056,0,0,0,0
59955,0,0,0,0
34356,0,0,0,0
203827,0,0,0,0
24634,21,29696,2,65536
34370,0,0,0,0
34884,0,0,0,0
60999,0,0,0,0
198727,0,0,0,0
57937,1,256,0,0
50770,0,0,0,0
59989,0,0,0,0
38999,9,2304,0,0
12376,0,0,0,0
39010,121,41216,1,65536
48740,1,256,0,0
47719,0,0,0,0
3176,2,512,0,0
50285,1,2048,0,0
200817,0,0,0,0
197249,1,256,0,0
34447,0,0,0,0
15511,0,0,0,0
44189,2,512,0,0
31390,0,0,0,0
57513,6,1536,0,0
61113,1,256,0,0
62144,0,0,0,0
25281,0,0,0,0
51910,8,2304,0,0
42183,0,0,0,0
48335,0,0,0,0
48847,0,0,0,0
56530,1,256,0,0
198867,1,256,0,0
51938,1,256,0,0
34032,0,0,0,0
13044,0,0,0,0
61172,1,256,0,0
41211,1,256,0,0
60668,1,1024,1,65536
16130,7,9984,0,0
35074,93,28928,0,0
34062,0,0,0,0
16169,0,0,0,0
43824,2,768,0,0
196917,1,256,0,0
24892,0,0,0,0
31037,0,0,0,0
34113,0,0,0,0
44870,2,3072,0,0
42828,0,0,0,0
42835,0,0,0,0
204122,0,0,0,0
9051,35,51456,1,65536
42334,17,4352,0,0
29027,0,0,0,0
31587,0,0,0,0
42852,16,6912,0,0
51558,15,3840,0,0
41833,20,18432,1,65536
39275,1,256,0,0
35197,15,13312,0,0
25471,0,0,0,0
20874,0,0,0,0
29070,0,0,0,0
25491,0,0,0,0
34708,10,2048,0,0
24982,2,512,0,0
31126,278,71424,2,65536
57256,5,1280,0,0
58281,1,256,0,0
29099,0,0,0,0
44979,0,0,0,0
34741,2,512,0,0
29623,0,0,0,0
39868,1,256,0,0
41423,0,0,0,0
60372,0,0,0,0
199643,0,0,0,0
41956,0,0,0,0
39402,1,1024,0,0
39918,2,512,0,0
60398,0,0,0,0
48629,0,0,0,0
60406,0,0,0,0
61432,1,256,0,0
8699,0,0,0,0
